n,bias,rmse,cov_normal,cov_percentile
600,-0.008145423770925952,0.10284541083988798,0.965,0.97
1200,-0.003299215201460943,0.07391986877620048,0.98,0.975
2400,-0.005855869761730425,0.06275223315859402,0.93,0.93
