n,bias,rmse,cov_normal,cov_percentile
600,-0.0054594177937153645,0.05585709518233523,0.96,0.965
1200,0.0018793078731115668,0.04137894243586008,0.93,0.925
2400,0.0014556244508476177,0.028068725996064296,0.985,0.965
